Attributes,Symbols,2022-11-11
Adj Close,XM,11.479999542236328
Adj Close,NOW,409.9100036621094
Adj Close,RPD,31.3799991607666
Adj Close,ZLNDY,17.25
Adj Close,ZEN,76.69999694824219
Adj Close,AMZN,100.79000091552734
Adj Close,CSCO,44.790000915527344
Adj Close,MSFT,246.41555786132812
Adj Close,GOOG,96.7300033569336
Adj Close,META,113.0199966430664
Adj Close,AAPL,149.6999969482422
Adj Close,WDAY,156.9499969482422
Adj Close,GWRE,60.93000030517578
Adj Close,INTC,30.43000030517578
Adj Close,ORCL,77.73999786376953
Adj Close,TOST,20.479999542236328
Adj Close,ANET,128.5500030517578
Adj Close,MDB,175.94000244140625
Adj Close,HUBS,306.0899963378906
Adj Close,PICC,9.9399995803833
Adj Close,TWLO,55.27000045776367
Adj Close,EXPE,102.79000091552734
Adj Close,SSTK,53.90999984741211
Adj Close,VMW,115.97000122070312
Adj Close,TENB,39.75
Close,XM,11.479999542236328
Close,NOW,409.9100036621094
Close,RPD,31.3799991607666
Close,ZLNDY,17.25
Close,ZEN,76.69999694824219
Close,AMZN,100.79000091552734
Close,CSCO,44.790000915527344
Close,MSFT,247.11000061035156
Close,GOOG,96.7300033569336
Close,META,113.0199966430664
Close,AAPL,149.6999969482422
Close,WDAY,156.9499969482422
Close,GWRE,60.93000030517578
Close,INTC,30.43000030517578
Close,ORCL,77.73999786376953
Close,TOST,20.479999542236328
Close,ANET,128.5500030517578
Close,MDB,175.94000244140625
Close,HUBS,306.0899963378906
Close,PICC,9.9399995803833
Close,TWLO,55.27000045776367
Close,EXPE,102.79000091552734
Close,SSTK,53.90999984741211
Close,VMW,115.97000122070312
Close,TENB,39.75
High,XM,11.6899995803833
High,NOW,424.4599914550781
High,RPD,32.189998626708984
High,ZLNDY,17.309999465942383
High,ZEN,76.79000091552734
High,AMZN,101.19000244140625
High,CSCO,45.31999969482422
High,MSFT,247.99000549316406
High,GOOG,97.36000061035156
High,META,114.9000015258789
High,AAPL,150.00999450683594
High,WDAY,159.2899932861328
High,GWRE,61.58000183105469
High,INTC,30.6299991607666
High,ORCL,77.88999938964844
High,TOST,21.795000076293945
High,ANET,129.77000427246094
High,MDB,180.75999450683594
High,HUBS,321.43499755859375
High,PICC,9.944999694824219
High,TWLO,55.689998626708984
High,EXPE,104.47000122070312
High,SSTK,54.81999969482422
High,VMW,116.12999725341797
High,TENB,40.0
Low,XM,11.010000228881836
Low,NOW,404.7200012207031
Low,RPD,29.170000076293945
Low,ZLNDY,16.19029998779297
Low,ZEN,76.5999984741211
Low,AMZN,96.66000366210938
Low,CSCO,43.91999816894531
Low,MSFT,241.92999267578125
Low,GOOG,94.16000366210938
Low,META,108.80999755859375
Low,AAPL,144.3699951171875
Low,WDAY,150.86000061035156
Low,GWRE,58.150001525878906
Low,INTC,28.8700008392334
Low,ORCL,76.56999969482422
Low,TOST,19.709999084472656
Low,ANET,125.66999816894531
Low,MDB,161.58999633789062
Low,HUBS,300.989990234375
Low,PICC,9.9399995803833
Low,TWLO,49.720001220703125
Low,EXPE,99.18000030517578
Low,SSTK,52.150001525878906
Low,VMW,114.05000305175781
Low,TENB,37.529998779296875
Open,XM,11.239999771118164
Open,NOW,406.989990234375
Open,RPD,29.989999771118164
Open,ZLNDY,16.19029998779297
Open,ZEN,76.62999725341797
Open,AMZN,97.87999725341797
Open,CSCO,45.18000030517578
Open,MSFT,242.99000549316406
Open,GOOG,94.70999908447266
Open,META,109.2300033569336
Open,AAPL,145.82000732421875
Open,WDAY,153.1199951171875
Open,GWRE,58.88999938964844
Open,INTC,28.93000030517578
Open,ORCL,77.12999725341797
Open,TOST,21.5
Open,ANET,127.4800033569336
Open,MDB,163.4499969482422
Open,HUBS,303.82000732421875
Open,PICC,9.944999694824219
Open,TWLO,50.77000045776367
Open,EXPE,99.52999877929688
Open,SSTK,52.61000061035156
Open,VMW,114.5999984741211
Open,TENB,37.970001220703125
Volume,XM,2941200.0
Volume,NOW,2143900.0
Volume,RPD,2380500.0
Volume,ZLNDY,86049.0
Volume,ZEN,977500.0
Volume,AMZN,111481700.0
Volume,CSCO,25960800.0
Volume,MSFT,34600900.0
Volume,GOOG,30536500.0
Volume,META,59836400.0
Volume,AAPL,93903800.0
Volume,WDAY,2680200.0
Volume,GWRE,1366200.0
Volume,INTC,49811800.0
Volume,ORCL,7712600.0
Volume,TOST,21973100.0
Volume,ANET,2874800.0
Volume,MDB,2790200.0
Volume,HUBS,1201500.0
Volume,PICC,100600.0
Volume,TWLO,6949700.0
Volume,EXPE,3097500.0
Volume,SSTK,255900.0
Volume,VMW,798900.0
Volume,TENB,1459200.0
